city,x,transportas,vanduo,oras,šiukšles,total
Šiauliai,2015,9.6,15.4,20.6,0.0,49.9
Kaunas,2015,20.9,13.8,13.8,16.1,61.1
Panevėžys,2015,5.9,16.5,3.9,1.4,28.9
Alytus,2015,0.0,14.1,14.9,18.3,29.0
Klaipėda,2015,18.1,5.8,3.5,8.2,34.9
Vilnius,2015,15.5,8.0,24.7,25.0,51.2
Šiauliai,2016,8.1,22.9,21.9,14.8,55.8
Kaunas,2016,21.3,23.0,15.6,10.6,72.4
Panevėžys,2016,9.5,24.9,2.5,11.2,41.4
Alytus,2016,0.0,21.5,20.0,24.9,41.5
Klaipėda,2016,14.3,7.8,9.2,0.0,37.5
Vilnius,2016,15.0,8.0,25.0,25.0,50.5
Šiauliai,2017,6.6,21.1,20.9,11.9,50.1
Kaunas,2017,21.2,22.7,16.5,10.2,72.9
Panevėžys,2017,9.1,24.9,4.3,10.0,43.0
Alytus,2017,0.0,22.5,18.3,18.9,40.8
Klaipėda,2017,14.4,7.8,6.2,0.0,34.3
Vilnius,2017,15.6,8.1,25.0,25.0,51.7
Šiauliai,2018,5.0,22.6,21.7,16.0,49.8
Kaunas,2018,21.5,21.7,13.9,0.0,69.6
Panevėžys,2018,4.4,24.9,4.9,9.0,35.2
Alytus,2018,0.0,23.7,16.6,10.2,40.3
Klaipėda,2018,12.1,7.8,2.6,7.3,25.7
Vilnius,2018,14.8,8.0,25.0,25.0,50.2
Šiauliai,2019,10.3,22.6,20.4,0.0,57.6
Kaunas,2019,22.1,20.5,14.5,4.6,69.7
Panevėžys,2019,10.3,23.3,4.2,5.6,42.9
Alytus,2019,0.0,24.1,18.1,9.8,42.2
Klaipėda,2019,15.6,5.8,3.6,5.0,31.4
Vilnius,2019,19.0,8.1,24.4,25.0,57.9
Šiauliai,2020,9.6,25.0,18.3,0.0,57.1
Kaunas,2020,17.7,20.0,20.6,0.0,70.8
Panevėžys,2020,10.1,23.5,5.0,0.0,43.4
Alytus,2020,0.0,23.4,15.5,0.0,38.9
Klaipėda,2020,16.9,6.8,3.4,0.0,34.3
Vilnius,2020,19.1,8.1,25.0,0.0,58.8
