x_rank,viesojo_rida_rank,transportas_rank,vanduo_rank,oras_rank,šiukšles_rank,total_rank,city
3.5,4.0,3.0,5.0,5.0,1.0,4.0,Šiauliai
3.5,6.0,6.0,3.0,3.0,4.0,6.0,Kaunas
3.5,2.0,2.0,6.0,2.0,2.0,1.0,Panevėžys
3.5,1.0,1.0,4.0,4.0,5.5,2.0,Alytus
3.5,5.0,5.0,1.0,1.0,3.0,3.0,Klaipėda
3.5,3.0,4.0,2.0,6.0,5.5,5.0,Vilnius
3.5,3.0,2.0,3.0,5.0,4.0,4.0,Šiauliai
3.5,6.0,6.0,4.0,3.0,2.0,6.0,Kaunas
3.5,4.0,3.0,6.0,1.0,3.0,1.0,Panevėžys
3.5,1.0,1.0,2.0,4.0,5.5,2.0,Alytus
3.5,5.0,4.0,1.0,2.0,1.0,3.0,Klaipėda
3.5,2.0,5.0,5.0,6.0,5.5,5.0,Vilnius
3.5,2.0,2.0,1.0,5.0,4.0,4.0,Šiauliai
3.5,6.0,6.0,4.0,3.0,3.0,6.0,Kaunas
3.5,4.0,3.0,6.0,1.0,2.0,2.0,Panevėžys
3.5,1.0,1.0,3.0,4.0,5.5,1.0,Alytus
3.5,5.0,4.0,2.0,2.0,1.0,3.0,Klaipėda
3.5,3.0,5.0,5.0,6.0,5.5,5.0,Vilnius
3.5,2.0,3.0,3.0,5.0,4.0,4.0,Šiauliai
3.5,6.0,6.0,2.0,3.0,1.0,6.0,Kaunas
3.5,3.0,2.0,6.0,2.0,3.0,1.0,Panevėžys
3.5,1.0,1.0,4.0,4.0,5.5,3.0,Alytus
3.5,5.0,4.0,1.0,1.0,2.0,2.0,Klaipėda
3.5,4.0,5.0,5.0,6.0,5.5,5.0,Vilnius
3.5,2.0,2.5,3.0,5.0,1.0,4.0,Šiauliai
3.5,6.0,6.0,2.0,3.0,2.0,5.0,Kaunas
3.5,3.0,2.5,4.0,2.0,4.0,1.0,Panevėžys
3.5,1.0,1.0,6.0,4.0,5.5,2.0,Alytus
3.5,4.0,4.0,1.0,1.0,3.0,3.0,Klaipėda
3.5,5.0,5.0,5.0,6.0,5.5,6.0,Vilnius
3.5,2.0,2.0,6.0,4.0,3.5,4.0,Šiauliai
3.5,6.0,5.0,1.0,5.0,3.5,5.0,Kaunas
3.5,3.0,3.0,4.0,2.0,3.5,2.0,Panevėžys
3.5,1.0,1.0,3.0,3.0,3.5,1.0,Alytus
3.5,5.0,4.0,2.0,1.0,3.5,3.0,Klaipėda
3.5,4.0,6.0,5.0,6.0,3.5,6.0,Vilnius
