"Laikotarpis","Rodiklis","Apskritys","Supirkimo šaltinis","Metalų laužo rūšis","Matavimo vienetai","Reikšmė"
"2020","Metalų laužo supirkimas","Vilniaus apskritis","Supirkta, iš viso","Juodųjų metalų laužas, tūkst. tonų","-","198.3"
"2020","Metalų laužo supirkimas","Alytaus apskritis","Supirkta, iš viso","Juodųjų metalų laužas, tūkst. tonų","-","29.3"
"2020","Metalų laužo supirkimas","Kauno apskritis","Supirkta, iš viso","Juodųjų metalų laužas, tūkst. tonų","-","178.2"
"2020","Metalų laužo supirkimas","Klaipėdos apskritis","Supirkta, iš viso","Juodųjų metalų laužas, tūkst. tonų","-","361.1"
"2020","Metalų laužo supirkimas","Panevėžio apskritis","Supirkta, iš viso","Juodųjų metalų laužas, tūkst. tonų","-","42.6"
"2020","Metalų laužo supirkimas","Šiaulių apskritis","Supirkta, iš viso","Juodųjų metalų laužas, tūkst. tonų","-","33.7"
"2020","Metalų laužo supirkimas","Vilniaus apskritis","Importuota","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Alytaus apskritis","Importuota","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Kauno apskritis","Importuota","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Klaipėdos apskritis","Importuota","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Panevėžio apskritis","Importuota","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Šiaulių apskritis","Importuota","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Vilniaus apskritis","Supirkta iš gyventojų","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Alytaus apskritis","Supirkta iš gyventojų","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Kauno apskritis","Supirkta iš gyventojų","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Klaipėdos apskritis","Supirkta iš gyventojų","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Panevėžio apskritis","Supirkta iš gyventojų","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Šiaulių apskritis","Supirkta iš gyventojų","Juodųjų metalų laužas, tūkst. tonų","-",
"2020","Metalų laužo supirkimas","Vilniaus apskritis","Supirkta, iš viso","Spalvotųjų metalų laužas, tonos","-","11329.4"
"2020","Metalų laužo supirkimas","Alytaus apskritis","Supirkta, iš viso","Spalvotųjų metalų laužas, tonos","-","1326.7"
"2020","Metalų laužo supirkimas","Kauno apskritis","Supirkta, iš viso","Spalvotųjų metalų laužas, tonos","-","10919.2"
"2020","Metalų laužo supirkimas","Klaipėdos apskritis","Supirkta, iš viso","Spalvotųjų metalų laužas, tonos","-","4053.2"
"2020","Metalų laužo supirkimas","Panevėžio apskritis","Supirkta, iš viso","Spalvotųjų metalų laužas, tonos","-","2567.8"
"2020","Metalų laužo supirkimas","Šiaulių apskritis","Supirkta, iš viso","Spalvotųjų metalų laužas, tonos","-","545.8"
"2020","Metalų laužo supirkimas","Vilniaus apskritis","Importuota","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Alytaus apskritis","Importuota","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Kauno apskritis","Importuota","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Klaipėdos apskritis","Importuota","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Panevėžio apskritis","Importuota","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Šiaulių apskritis","Importuota","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Vilniaus apskritis","Supirkta iš gyventojų","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Alytaus apskritis","Supirkta iš gyventojų","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Kauno apskritis","Supirkta iš gyventojų","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Klaipėdos apskritis","Supirkta iš gyventojų","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Panevėžio apskritis","Supirkta iš gyventojų","Spalvotųjų metalų laužas, tonos","-",
"2020","Metalų laužo supirkimas","Šiaulių apskritis","Supirkta iš gyventojų","Spalvotųjų metalų laužas, tonos","-",
