"Laikotarpis","Rodiklis","Administracinė teritorija","Išvalymas","Matavimo vienetai","Reikšmė"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","38719.4"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","41553.7"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","40027.5"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","40726.7"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","39242.2"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","3667.6"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","4028.0"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","3211.2"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","3003.3"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Iš viso išleista nuotekų","tūkst. m³","2958.9"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Iš viso išleista nuotekų","tūkst. m³","26102.1"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Iš viso išleista nuotekų","tūkst. m³","28071.8"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Iš viso išleista nuotekų","tūkst. m³","25012.4"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Iš viso išleista nuotekų","tūkst. m³","24036.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Iš viso išleista nuotekų","tūkst. m³","24466.9"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Iš viso išleista nuotekų","tūkst. m³","63702.0"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Iš viso išleista nuotekų","tūkst. m³","75669.4"
