"Laikotarpis","Rodiklis","Administracinė teritorija","Teršalai","Matavimo vienetai","Reikšmė"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Vilniaus apskritis","Visi teršalai","tonos","5292.89"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Vilniaus apskritis","Kietosios medžiagos","tonos","372.82"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Vilniaus apskritis","Dujinės ir skystosios medžiagos","tonos","4920.07"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Vilniaus apskritis","Sieros dioksidas, tonos","tonos","134.13"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Vilniaus apskritis","Azoto oksidai, tonos","tonos","1095.67"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Vilniaus apskritis","Anglies monoksidas, tonos","tonos","1672.61"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Vilniaus apskritis","Lakūs organiniai junginiai","tonos","1179.21"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Vilniaus apskritis","Fluoras ir kiti teršalai","tonos","838.45"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Alytaus apskritis","Visi teršalai","tonos","1548.21"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Alytaus apskritis","Kietosios medžiagos","tonos","141.22"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Alytaus apskritis","Dujinės ir skystosios medžiagos","tonos","1406.99"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Alytaus apskritis","Sieros dioksidas, tonos","tonos","14.65"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Alytaus apskritis","Azoto oksidai, tonos","tonos","174.10"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Alytaus apskritis","Anglies monoksidas, tonos","tonos","990.09"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Alytaus apskritis","Lakūs organiniai junginiai","tonos","97.59"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Alytaus apskritis","Fluoras ir kiti teršalai","tonos","130.56"
"2020","Teršalų, išmestų į aplinkos orą iš stacionarių taršos šaltinių","Kauno apskritis","Visi teršalai","tonos","10324.45"
