"Laikotarpis","Rodiklis","Administracinė teritorija","Vandens naudojimo paskirtis","Matavimo vienetai","Reikšmė"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Paimta vandens iš viso","tūkst. m³","124569.2"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Paimta vandens iš viso","tūkst. m³","75730.2"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Paimta vandens iš viso","tūkst. m³","67235.6"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Paimta vandens iš viso","tūkst. m³","68301.2"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Paimta vandens iš viso","tūkst. m³","186475.3"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Paimta požeminio vandens","tūkst. m³","39305.3"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Paimta požeminio vandens","tūkst. m³","39742.5"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Paimta požeminio vandens","tūkst. m³","41658.1"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Paimta požeminio vandens","tūkst. m³","41739.0"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Paimta požeminio vandens","tūkst. m³","40730.4"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens iš viso","tūkst. m³","118939.8"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens iš viso","tūkst. m³","70224.2"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens iš viso","tūkst. m³","61708.5"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens iš viso","tūkst. m³","62071.3"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens iš viso","tūkst. m³","181162.3"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota požeminio vandens","tūkst. m³","33675.8"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota požeminio vandens","tūkst. m³","34236.6"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota požeminio vandens","tūkst. m³","36131.0"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota požeminio vandens","tūkst. m³","35509.2"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota požeminio vandens","tūkst. m³","35417.4"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","32110.0"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","32581.8"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","34401.8"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","33189.6"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","32857.6"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","74058.3"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","24789.7"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","16829.3"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","14379.4"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","132912.8"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2017","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2016","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","1836.8"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","1989.0"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","2087.0"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","2357.4"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","2636.2"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","669.0"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","865.3"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","777.6"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","1009.1"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","1064.8"
"2016","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","10265.7"
"2017","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","9998.5"
"2018","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","7612.9"
"2019","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","11135.9"
"2020","Vandens sunaudojimas","Vilniaus apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","11690.9"
"2016","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","11149.7"
"2017","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","11258.0"
"2018","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","11218.1"
"2019","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","10123.5"
"2020","Vandens sunaudojimas","Alytaus apskritis","Paimta vandens iš viso","tūkst. m³","11063.9"
"2016","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","6134.6"
"2017","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","5961.5"
"2018","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","5901.2"
"2019","Vandens sunaudojimas","Alytaus apskritis","Paimta požeminio vandens","tūkst. m³","6013.8"
