city,x,transportas,vanduo,oras,total
Šiauliai,2016,16.9,10.5,3.1,30.5
Kaunas,2016,3.7,10.2,9.4,23.3
Panevėžys,2016,15.5,8.5,22.5,46.5
Alytus,2016,25.0,11.9,5.0,41.8
Klaipėda,2016,10.7,12.5,15.8,39.0
Vilnius,2016,10.0,8.7,0.0,18.7
Šiauliai,2017,18.4,12.3,4.1,34.8
Kaunas,2017,3.8,10.5,8.5,22.8
Panevėžys,2017,15.9,8.5,20.7,45.1
Alytus,2017,25.0,10.9,6.7,42.6
Klaipėda,2017,10.6,12.2,18.8,41.6
Vilnius,2017,9.4,8.6,0.0,18.0
Šiauliai,2018,20.0,10.7,3.3,34.0
Kaunas,2018,3.5,11.5,11.1,26.1
Panevėžys,2018,20.6,8.5,20.1,49.2
Alytus,2018,25.0,9.7,8.4,43.0
Klaipėda,2018,12.9,11.8,22.4,47.2
Vilnius,2018,10.2,8.7,0.0,18.8
Šiauliai,2019,14.7,10.8,4.6,30.0
Kaunas,2019,2.9,12.7,10.5,26.0
Panevėžys,2019,14.7,10.1,20.8,45.6
Alytus,2019,25.0,7.7,6.9,39.6
Klaipėda,2019,9.4,13.4,21.4,44.1
Vilnius,2019,6.0,8.6,0.6,15.2
Šiauliai,2020,15.4,8.3,6.7,30.5
Kaunas,2020,7.3,13.2,4.4,24.9
Panevėžys,2020,14.9,9.9,20.0,44.7
Alytus,2020,25.0,10.0,9.5,44.5
Klaipėda,2020,8.1,12.3,21.6,42.1
Vilnius,2020,5.9,8.5,0.0,14.5
