,city,x,transportas,vanduo,oras,šiukšles,total
0,Šiauliai,2015,9.6,16.7,20.6,0.0,46.9
1,Kaunas,2015,20.9,9.6,13.8,15.8,60.1
2,Panevėžys,2015,5.9,8.2,3.9,1.3,19.3
3,Alytus,2015,0.0,12.9,14.9,18.4,46.2
4,Klaipėda,2015,18.1,1.1,3.5,7.9,30.6
5,Vilnius,2015,15.5,12.6,24.7,25.0,77.8
6,Šiauliai,2016,8.1,25.0,21.9,14.6,69.6
7,Kaunas,2016,21.3,17.9,15.6,10.4,65.2
8,Panevėžys,2016,9.5,16.5,2.5,10.4,38.9
9,Alytus,2016,0.0,21.6,20.0,25.0,66.6
10,Klaipėda,2016,14.3,3.2,9.2,0.0,26.7
11,Vilnius,2016,15.0,12.9,25.0,25.0,77.9
12,Šiauliai,2017,6.6,25.0,20.9,12.5,65.0
13,Kaunas,2017,21.2,18.7,16.5,10.7,67.1
14,Panevėžys,2017,9.1,16.5,4.3,8.9,38.8
15,Alytus,2017,0.0,22.9,18.3,19.6,60.8
16,Klaipėda,2017,14.4,4.4,6.2,0.0,25.0
17,Vilnius,2017,15.6,13.5,25.0,25.0,79.1
18,Šiauliai,2018,5.0,25.0,21.7,15.4,67.1
19,Kaunas,2018,21.5,18.8,13.9,0.0,54.2
20,Panevėžys,2018,4.4,16.5,4.9,9.6,35.4
21,Alytus,2018,0.0,23.1,16.6,9.6,49.3
22,Klaipėda,2018,12.1,4.0,2.6,7.7,26.4
23,Vilnius,2018,14.8,13.2,25.0,25.0,78.0
24,Šiauliai,2019,10.3,25.0,20.4,0.0,55.7
25,Kaunas,2019,22.1,19.4,14.5,5.4,61.4
26,Panevėžys,2019,10.3,16.6,4.2,5.4,36.5
27,Alytus,2019,0.0,22.1,18.1,10.7,50.9
28,Klaipėda,2019,15.6,5.1,3.6,5.4,29.7
29,Vilnius,2019,19.0,14.1,24.4,25.0,82.5
30,Šiauliai,2020,9.6,25.0,18.3,0.0,52.9
31,Kaunas,2020,17.7,19.2,20.6,5.4,62.9
32,Panevėžys,2020,10.1,16.5,5.0,5.4,37.0
33,Alytus,2020,0.0,21.2,15.5,10.7,47.4
34,Klaipėda,2020,16.9,4.9,3.4,5.4,30.6
35,Vilnius,2020,19.1,14.2,25.0,25.0,83.3
