city,x,transportas,vanduo,oras,šiukšles,total
Šiauliai,2015,4.0,1.0,2.0,6.0,3.0
Kaunas,2015,1.0,4.0,4.0,3.0,2.0
Panevėžys,2015,5.0,5.0,5.0,5.0,6.0
Alytus,2015,6.0,2.0,3.0,2.0,4.0
Klaipėda,2015,2.0,6.0,6.0,4.0,5.0
Vilnius,2015,3.0,3.0,1.0,1.0,1.0
Šiauliai,2016,5.0,1.0,2.0,3.0,2.0
Kaunas,2016,1.0,3.0,4.0,4.5,4.0
Panevėžys,2016,4.0,4.0,6.0,4.5,5.0
Alytus,2016,6.0,2.0,3.0,1.5,3.0
Klaipėda,2016,3.0,6.0,5.0,6.0,6.0
Vilnius,2016,2.0,5.0,1.0,1.5,1.0
Šiauliai,2017,5.0,1.0,2.0,3.0,3.0
Kaunas,2017,1.0,3.0,4.0,4.0,2.0
Panevėžys,2017,4.0,4.0,6.0,5.0,5.0
Alytus,2017,6.0,2.0,3.0,2.0,4.0
Klaipėda,2017,3.0,6.0,5.0,6.0,6.0
Vilnius,2017,2.0,5.0,1.0,1.0,1.0
Šiauliai,2018,4.0,1.0,2.0,2.0,2.0
Kaunas,2018,1.0,3.0,4.0,6.0,3.0
Panevėžys,2018,5.0,4.0,5.0,3.5,5.0
Alytus,2018,6.0,2.0,3.0,3.5,4.0
Klaipėda,2018,3.0,6.0,6.0,5.0,6.0
Vilnius,2018,2.0,5.0,1.0,1.0,1.0
Šiauliai,2019,4.5,1.0,2.0,6.0,3.0
Kaunas,2019,1.0,3.0,4.0,4.0,2.0
Panevėžys,2019,4.5,4.0,5.0,4.0,5.0
Alytus,2019,6.0,2.0,3.0,2.0,4.0
Klaipėda,2019,3.0,6.0,6.0,4.0,6.0
Vilnius,2019,2.0,5.0,1.0,1.0,1.0
Šiauliai,2020,5.0,1.0,3.0,6.0,3.0
Kaunas,2020,2.0,3.0,2.0,4.0,2.0
Panevėžys,2020,4.0,4.0,5.0,4.0,5.0
Alytus,2020,6.0,2.0,4.0,2.0,4.0
Klaipėda,2020,3.0,6.0,6.0,4.0,6.0
Vilnius,2020,1.0,5.0,1.0,1.0,1.0
