city,x,kelioniu_kiekis,nuotekos,siuksles_surinktos,tersalai_co,tersalai_kietosios,tersalai_no,vandens_sunaudojimas_buiciai,vandens_sunaudojimas_energetikai,viesojo_rida
Šiauliai,2015,5.27,8.33,0.0,4.75,7.5,8.33,8.33,7.05,4.33
Kaunas,2015,8.45,8.24,15.79,2.55,5.83,5.47,7.78,5.98,12.5
Panevėžys,2015,3.29,8.33,1.32,0.0,0.0,3.91,8.19,8.33,2.59
Alytus,2015,0.0,8.33,18.42,4.86,2.5,7.55,8.08,5.98,0.0
Klaipėda,2015,10.58,2.09,7.89,1.85,1.67,0.0,0.0,5.77,7.54
Vilnius,2015,12.5,0.0,25.0,8.33,8.33,8.07,7.95,0.0,3.0
Šiauliai,2016,5.05,8.33,14.58,5.97,7.87,8.02,8.33,6.19,3.03
Kaunas,2016,8.78,8.27,10.42,2.84,6.94,5.86,7.82,6.9,12.5
Panevėžys,2016,4.96,8.33,10.42,0.0,0.0,2.47,8.2,8.33,4.54
Alytus,2016,0.0,8.33,25.0,6.44,5.56,8.02,8.13,5.0,0.0
Klaipėda,2016,8.11,1.83,0.0,3.69,5.56,0.0,0.0,5.95,6.2
Vilnius,2016,12.5,0.0,25.0,8.33,8.33,8.33,8.0,0.0,2.48
Šiauliai,2017,4.9,8.33,12.5,5.36,7.89,7.62,8.33,4.39,1.65
Kaunas,2017,8.69,8.28,10.71,3.26,6.58,6.67,7.89,6.58,12.5
Panevėžys,2017,4.36,8.33,8.93,0.0,0.0,4.29,8.2,8.33,4.72
Alytus,2017,0.0,8.33,19.64,5.84,4.82,7.62,8.21,5.92,0.0
Klaipėda,2017,8.52,1.65,0.0,1.34,4.82,0.0,0.0,6.14,5.91
Vilnius,2017,12.5,0.0,25.0,8.33,8.33,8.33,8.06,0.0,3.07
Šiauliai,2018,4.63,8.33,15.38,5.78,8.33,7.6,8.33,5.95,0.41
Kaunas,2018,8.96,8.27,0.0,1.99,7.05,4.9,7.84,5.56,12.5
Panevėžys,2018,3.37,8.33,9.62,0.0,0.0,4.9,8.21,8.33,1.02
Alytus,2018,0.0,8.33,9.62,6.06,3.21,7.35,8.21,7.14,0.0
Klaipėda,2018,8.81,1.49,7.69,0.66,1.92,0.0,0.0,6.35,3.25
Vilnius,2018,12.5,0.0,25.0,8.33,8.33,8.33,8.01,0.0,2.32
Šiauliai,2019,5.99,8.33,0.0,4.98,8.33,7.11,8.33,5.91,4.31
Kaunas,2019,9.63,8.26,5.36,3.08,7.05,4.41,7.95,4.3,12.5
Panevėžys,2019,5.23,8.33,5.36,0.0,0.0,4.17,8.22,6.72,5.09
Alytus,2019,0.0,7.56,10.71,6.25,4.49,7.35,8.19,8.33,0.0
Klaipėda,2019,9.34,1.27,5.36,2.36,1.28,0.0,0.0,4.57,6.31
Vilnius,2019,12.5,0.0,25.0,8.33,7.69,8.33,8.1,0.0,6.47
Šiauliai,2020,5.27,8.33,0.0,3.28,8.33,6.67,8.33,8.33,4.29
Kaunas,2020,5.16,8.26,5.36,4.88,7.78,7.92,7.95,3.82,12.5
Panevėžys,2020,5.33,8.33,5.36,0.0,0.0,5.0,8.2,6.94,4.8
Alytus,2020,0.0,8.33,10.71,3.81,5.0,6.67,8.1,6.94,0.0
Klaipėda,2020,9.66,1.24,5.36,1.15,2.22,0.0,0.0,5.56,7.23
Vilnius,2020,12.5,0.0,25.0,8.33,8.33,8.33,8.12,0.0,6.57
