city,y,x
Šiauliai,46.9,2015
Kaunas,60.1,2015
Panevėžys,19.3,2015
Alytus,46.2,2015
Klaipėda,30.6,2015
Vilnius,77.8,2015
Šiauliai,69.6,2016
Kaunas,65.2,2016
Panevėžys,38.9,2016
Alytus,66.6,2016
Klaipėda,26.7,2016
Vilnius,77.9,2016
Šiauliai,65.0,2017
Kaunas,67.1,2017
Panevėžys,38.8,2017
Alytus,60.8,2017
Klaipėda,25.0,2017
Vilnius,79.1,2017
Šiauliai,67.1,2018
Kaunas,54.2,2018
Panevėžys,35.4,2018
Alytus,49.3,2018
Klaipėda,26.4,2018
Vilnius,78.0,2018
Šiauliai,55.7,2019
Kaunas,61.4,2019
Panevėžys,36.5,2019
Alytus,50.9,2019
Klaipėda,29.7,2019
Vilnius,82.5,2019
Šiauliai,52.9,2020
Kaunas,62.9,2020
Panevėžys,37.0,2020
Alytus,47.4,2020
Klaipėda,30.6,2020
Vilnius,83.3,2020
