city,y,x
Šiauliai,3.1,2016
Kaunas,9.4,2016
Panevėžys,22.5,2016
Alytus,5.0,2016
Klaipėda,15.8,2016
Vilnius,0.0,2016
Šiauliai,4.1,2017
Kaunas,8.5,2017
Panevėžys,20.7,2017
Alytus,6.7,2017
Klaipėda,18.8,2017
Vilnius,0.0,2017
Šiauliai,3.3,2018
Kaunas,11.1,2018
Panevėžys,20.1,2018
Alytus,8.4,2018
Klaipėda,22.4,2018
Vilnius,0.0,2018
Šiauliai,4.6,2019
Kaunas,10.5,2019
Panevėžys,20.8,2019
Alytus,6.9,2019
Klaipėda,21.4,2019
Vilnius,0.6,2019
Šiauliai,6.7,2020
Kaunas,4.4,2020
Panevėžys,20.0,2020
Alytus,9.5,2020
Klaipėda,21.6,2020
Vilnius,0.0,2020
