city,x,y
Šiaulių m. sav.,2015,6.4
Šiaulių m. sav.,2016,7.1
Šiaulių m. sav.,2017,7.8
Šiaulių m. sav.,2018,7.4
Šiaulių m. sav.,2019,7.5
Šiaulių m. sav.,2020,7.1
Kauno m. sav.,2015,8.3
Kauno m. sav.,2016,10.4
Kauno m. sav.,2017,10.0
Kauno m. sav.,2018,11.4
Kauno m. sav.,2019,9.6
Kauno m. sav.,2020,5.3
Alytaus m. sav.,2015,6.3
Alytaus m. sav.,2016,6.6
Alytaus m. sav.,2017,7.3
Alytaus m. sav.,2018,7.1
Alytaus m. sav.,2019,6.1
Alytaus m. sav.,2020,6.5
Klaipėdos m. sav.,2015,8.9
Klaipėdos m. sav.,2016,9.5
Klaipėdos m. sav.,2017,12.0
Klaipėdos m. sav.,2018,12.8
Klaipėdos m. sav.,2019,10.4
Klaipėdos m. sav.,2020,9.5
Vilniaus m. sav.,2015,3.3
Vilniaus m. sav.,2016,4.6
Vilniaus m. sav.,2017,4.7
Vilniaus m. sav.,2018,4.7
Vilniaus m. sav.,2019,3.8
Vilniaus m. sav.,2020,1.4
