city,x,y
Šiauliai,2015,0.5
Šiauliai,2016,0.5
Šiauliai,2017,0.5
Šiauliai,2018,0.4
Šiauliai,2019,0.3
Šiauliai,2020,0.3
Kaunas,2015,0.7
Kaunas,2016,0.7
Kaunas,2017,0.8
Kaunas,2018,0.6
Kaunas,2019,0.5
Kaunas,2020,0.4
Panevėžys,2015,1.4
Panevėžys,2016,2.2
Panevėžys,2017,2.3
Panevėžys,2018,1.7
Panevėžys,2019,1.6
Panevėžys,2020,1.8
Alytus,2015,1.1
Alytus,2016,1.0
Alytus,2017,1.2
Alytus,2018,1.2
Alytus,2019,0.9
Alytus,2020,0.9
Klaipėda,2015,1.2
Klaipėda,2016,1.0
Klaipėda,2017,1.2
Klaipėda,2018,1.4
Klaipėda,2019,1.4
Klaipėda,2020,1.4
Vilnius,2015,0.4
Vilnius,2016,0.4
Vilnius,2017,0.4
Vilnius,2018,0.4
Vilnius,2019,0.4
Vilnius,2020,0.3
