city,x,y
Šiaulių m. sav.,2015,1.2
Šiaulių m. sav.,2016,1.5
Šiaulių m. sav.,2017,1.7
Šiaulių m. sav.,2018,1.6
Šiaulių m. sav.,2019,1.6
Šiaulių m. sav.,2020,1.6
Kauno m. sav.,2015,2.3
Kauno m. sav.,2016,2.2
Kauno m. sav.,2017,2.1
Kauno m. sav.,2018,2.7
Kauno m. sav.,2019,2.7
Kauno m. sav.,2020,1.0
Alytaus m. sav.,2015,1.5
Alytaus m. sav.,2016,1.5
Alytaus m. sav.,2017,1.7
Alytaus m. sav.,2018,1.7
Alytaus m. sav.,2019,1.5
Alytaus m. sav.,2020,1.6
Klaipėdos m. sav.,2015,4.4
Klaipėdos m. sav.,2016,4.1
Klaipėdos m. sav.,2017,4.9
Klaipėdos m. sav.,2018,4.7
Klaipėdos m. sav.,2019,4.5
Klaipėdos m. sav.,2020,4.8
Vilniaus m. sav.,2015,1.3
Vilniaus m. sav.,2016,1.4
Vilniaus m. sav.,2017,1.4
Vilniaus m. sav.,2018,1.3
Vilniaus m. sav.,2019,1.1
Vilniaus m. sav.,2020,0.8
