city,y,x
Šiauliai,0.0,2015
Kaunas,15.8,2015
Panevėžys,1.3,2015
Alytus,18.4,2015
Klaipėda,7.9,2015
Vilnius,25.0,2015
Šiauliai,14.6,2016
Kaunas,10.4,2016
Panevėžys,10.4,2016
Alytus,25.0,2016
Klaipėda,0.0,2016
Vilnius,25.0,2016
Šiauliai,12.5,2017
Kaunas,10.7,2017
Panevėžys,8.9,2017
Alytus,19.6,2017
Klaipėda,0.0,2017
Vilnius,25.0,2017
Šiauliai,15.4,2018
Kaunas,0.0,2018
Panevėžys,9.6,2018
Alytus,9.6,2018
Klaipėda,7.7,2018
Vilnius,25.0,2018
Šiauliai,0.0,2019
Kaunas,5.4,2019
Panevėžys,5.4,2019
Alytus,10.7,2019
Klaipėda,5.4,2019
Vilnius,25.0,2019
Šiauliai,0.0,2020
Kaunas,5.4,2020
Panevėžys,5.4,2020
Alytus,10.7,2020
Klaipėda,5.4,2020
Vilnius,25.0,2020
