city,x,y
Šiauliai,2015,0.5
Šiauliai,2016,0.5
Šiauliai,2017,0.5
Šiauliai,2018,0.4
Šiauliai,2019,0.3
Šiauliai,2020,0.3
Kaunas,2015,0.7
Kaunas,2016,0.7
Kaunas,2017,0.8
Kaunas,2018,0.6
Kaunas,2019,0.5
Kaunas,2020,0.4
Alytus,2015,1.1
Alytus,2016,1.0
Alytus,2017,1.2
Alytus,2018,1.2
Alytus,2019,0.9
Alytus,2020,0.9
Klaipėda,2015,1.2
Klaipėda,2016,1.0
Klaipėda,2017,1.2
Klaipėda,2018,1.4
Klaipėda,2019,1.4
Klaipėda,2020,1.4
Vilnius,2015,0.4
Vilnius,2016,0.4
Vilnius,2017,0.4
Vilnius,2018,0.4
Vilnius,2019,0.4
Vilnius,2020,0.3
