city,y,x
Šiauliai,46.9,2015
Kaunas,66.1,2015
Panevėžys,27.499999999999996,2015
Alytus,49.5,2015
Klaipėda,29.5,2015
Vilnius,81.1,2015
Šiauliai,69.6,2016
Kaunas,71.2,2016
Panevėžys,47.1,2016
Alytus,69.6,2016
Klaipėda,25.3,2016
Vilnius,81.0,2016
Šiauliai,65.0,2017
Kaunas,72.5,2017
Panevėžys,46.99999999999999,2017
Alytus,62.7,2017
Klaipėda,22.3,2017
Vilnius,81.7,2017
Šiauliai,67.10000000000001,2018
Kaunas,59.4,2018
Panevėžys,43.7,2018
Alytus,50.9,2018
Klaipėda,23.9,2018
Vilnius,80.8,2018
Šiauliai,55.699999999999996,2019
Kaunas,66.2,2019
Panevėžys,44.7,2019
Alytus,52.7,2019
Klaipėda,25.9,2019
Vilnius,84.6,2019
Šiauliai,52.900000000000006,2020
Kaunas,67.9,2020
Panevėžys,45.199999999999996,2020
Alytus,50.7,2020
Klaipėda,26.9,2020
Vilnius,85.3,2020
