city,y,x
Šiauliai,16.9,2016
Kaunas,3.7,2016
Panevėžys,15.5,2016
Alytus,25.0,2016
Klaipėda,10.7,2016
Vilnius,10.0,2016
Šiauliai,18.4,2017
Kaunas,3.8,2017
Panevėžys,15.9,2017
Alytus,25.0,2017
Klaipėda,10.6,2017
Vilnius,9.4,2017
Šiauliai,20.0,2018
Kaunas,3.5,2018
Panevėžys,20.6,2018
Alytus,25.0,2018
Klaipėda,12.9,2018
Vilnius,10.2,2018
Šiauliai,14.7,2019
Kaunas,2.9,2019
Panevėžys,14.7,2019
Alytus,25.0,2019
Klaipėda,9.4,2019
Vilnius,6.0,2019
Šiauliai,15.4,2020
Kaunas,7.3,2020
Panevėžys,14.9,2020
Alytus,25.0,2020
Klaipėda,8.1,2020
Vilnius,5.9,2020
