city,x,y
Šiauliai,2015,95.3
Šiauliai,2016,93.7
Šiauliai,2017,85.3
Šiauliai,2018,82.3
Šiauliai,2019,77.9
Šiauliai,2020,61.9
Kaunas,2015,150.9
Kaunas,2016,156.3
Kaunas,2017,156.3
Kaunas,2018,158.2
Kaunas,2019,155.3
Kaunas,2020,125.0
Panevėžys,2015,83.4
Panevėžys,2016,103.7
Panevėžys,2017,105.4
Panevėžys,2018,86.1
Panevėžys,2019,85.3
Panevėžys,2020,65.8
Alytus,2015,65.8
Alytus,2016,73.7
Alytus,2017,74.5
Alytus,2018,79.7
Alytus,2019,37.2
Alytus,2020,28.9
Klaipėda,2015,117.1
Klaipėda,2016,114.7
Klaipėda,2017,113.2
Klaipėda,2018,100.1
Klaipėda,2019,96.8
Klaipėda,2020,84.5
Vilnius,2015,86.2
Vilnius,2016,90.1
Vilnius,2017,94.6
Vilnius,2018,94.3
Vilnius,2019,98.3
Vilnius,2020,79.4
