city,x,y
Šiauliai,2015,139.3
Šiauliai,2016,135.9
Šiauliai,2017,134.6
Šiauliai,2018,128.8
Šiauliai,2019,130.8
Šiauliai,2020,81.0
Kaunas,2015,195.8
Kaunas,2016,198.5
Kaunas,2017,198.5
Kaunas,2018,201.0
Kaunas,2019,205.5
Kaunas,2020,79.5
Panevėžys,2015,104.2
Panevėžys,2016,134.4
Panevėžys,2017,125.5
Panevėžys,2018,107.9
Panevėžys,2019,115.1
Panevėžys,2020,81.9
Alytus,2015,45.7
Alytus,2016,51.1
Alytus,2017,51.9
Alytus,2018,51.7
Alytus,2019,7.8
Alytus,2020,4.3
Klaipėda,2015,233.6
Klaipėda,2016,187.2
Klaipėda,2017,195.5
Klaipėda,2018,198.5
Klaipėda,2019,199.4
Klaipėda,2020,145.0
Vilnius,2015,267.8
Vilnius,2016,260.9
Vilnius,2017,262.7
Vilnius,2018,259.9
Vilnius,2019,264.3
Vilnius,2020,186.3
