city,y,x
Šiauliai,56.9,2015
Kaunas,64.16,2015
Panevėžys,26.63,2015
Alytus,49.9,2015
Klaipėda,26.33,2015
Vilnius,83.33,2015
Šiauliai,73.85,2016
Kaunas,71.41,2016
Panevėžys,40.2,2016
Alytus,69.65,2016
Klaipėda,29.2,2016
Vilnius,83.48,2016
Šiauliai,69.62,2017
Kaunas,73.17,2017
Panevėžys,41.91,2017
Alytus,63.73,2017
Klaipėda,24.24,2017
Vilnius,84.09,2017
Šiauliai,71.31,2018
Kaunas,62.53,2018
Panevėžys,39.33,2018
Alytus,54.75,2018
Klaipėda,20.81,2018
Vilnius,83.3,2018
Šiauliai,64.4,2019
Kaunas,67.5,2019
Panevėžys,40.75,2019
Alytus,57.2,2019
Klaipėda,23.93,2019
Vilnius,86.14,2019
Šiauliai,60.32,2020
Kaunas,73.76,2020
Panevėžys,41.81,2020
Alytus,53.43,2020
Klaipėda,24.64,2020
Vilnius,87.22,2020
