city,y,x
Šiauliai,34.03,2015
Kaunas,22.8,2015
Panevėžys,6.44,2015
Alytus,24.62,2015
Klaipėda,5.78,2015
Vilnius,40.81,2015
Šiauliai,36.18,2016
Kaunas,25.77,2016
Panevėžys,4.13,2016
Alytus,33.04,2016
Klaipėda,15.2,2016
Vilnius,41.3,2016
Šiauliai,34.53,2017
Kaunas,27.26,2017
Panevėžys,7.1,2017
Alytus,30.23,2017
Klaipėda,10.24,2017
Vilnius,41.3,2017
Šiauliai,35.85,2018
Kaunas,22.97,2018
Panevėžys,8.1,2018
Alytus,27.43,2018
Klaipėda,4.3,2018
Vilnius,41.3,2018
Šiauliai,33.7,2019
Kaunas,23.96,2019
Panevėžys,6.94,2019
Alytus,29.9,2019
Klaipėda,5.95,2019
Vilnius,40.31,2019
Šiauliai,30.23,2020
Kaunas,34.03,2020
Panevėžys,8.26,2020
Alytus,25.61,2020
Klaipėda,5.62,2020
Vilnius,41.3,2020
