city,x,y
Šiauliai,2015,6.4
Šiauliai,2016,7.1
Šiauliai,2017,7.8
Šiauliai,2018,7.4
Šiauliai,2019,7.5
Šiauliai,2020,7.1
Kaunas,2015,8.3
Kaunas,2016,10.4
Kaunas,2017,10.0
Kaunas,2018,11.4
Kaunas,2019,9.6
Kaunas,2020,5.3
Panevėžys,2015,10.5
Panevėžys,2016,13.4
Panevėžys,2017,13.4
Panevėžys,2018,13.5
Panevėžys,2019,13.0
Panevėžys,2020,10.8
Alytus,2015,6.3
Alytus,2016,6.6
Alytus,2017,7.3
Alytus,2018,7.1
Alytus,2019,6.1
Alytus,2020,6.5
Klaipėda,2015,8.9
Klaipėda,2016,9.5
Klaipėda,2017,12.0
Klaipėda,2018,12.8
Klaipėda,2019,10.4
Klaipėda,2020,9.5
Vilnius,2015,3.3
Vilnius,2016,4.6
Vilnius,2017,4.7
Vilnius,2018,4.7
Vilnius,2019,3.8
Vilnius,2020,1.4
