city,y,x
Šiauliai,0.0,2015
Kaunas,9.62,2015
Panevėžys,0.79,2015
Alytus,11.2,2015
Klaipėda,4.81,2015
Vilnius,15.22,2015
Šiauliai,8.89,2016
Kaunas,6.33,2016
Panevėžys,6.33,2016
Alytus,15.22,2016
Klaipėda,0.0,2016
Vilnius,15.22,2016
Šiauliai,7.61,2017
Kaunas,6.51,2017
Panevėžys,5.42,2017
Alytus,11.93,2017
Klaipėda,0.0,2017
Vilnius,15.22,2017
Šiauliai,9.37,2018
Kaunas,0.0,2018
Panevėžys,5.84,2018
Alytus,5.84,2018
Klaipėda,4.69,2018
Vilnius,15.22,2018
Šiauliai,0.0,2019
Kaunas,3.29,2019
Panevėžys,3.29,2019
Alytus,6.51,2019
Klaipėda,3.29,2019
Vilnius,15.22,2019
Šiauliai,0.0,2020
Kaunas,3.29,2020
Panevėžys,3.29,2020
Alytus,6.51,2020
Klaipėda,3.29,2020
Vilnius,15.22,2020
