city,y,x
Šiauliai,14.52,2015
Kaunas,13.57,2015
Panevėžys,14.26,2015
Alytus,14.09,2015
Klaipėda,0.0,2015
Vilnius,13.83,2015
Šiauliai,21.74,2016
Kaunas,20.78,2016
Panevėžys,21.48,2016
Alytus,21.39,2016
Klaipėda,1.57,2016
Vilnius,13.91,2016
Šiauliai,21.74,2017
Kaunas,20.96,2017
Panevėžys,21.48,2017
Alytus,21.57,2017
Klaipėda,1.48,2017
Vilnius,14.0,2017
Šiauliai,21.74,2018
Kaunas,20.87,2018
Panevėžys,21.57,2018
Alytus,21.48,2018
Klaipėda,1.3,2018
Vilnius,13.91,2018
Šiauliai,21.74,2019
Kaunas,21.04,2019
Panevėžys,21.57,2019
Alytus,20.78,2019
Klaipėda,1.13,2019
Vilnius,14.09,2019
Šiauliai,21.74,2020
Kaunas,21.04,2020
Panevėžys,21.48,2020
Alytus,21.3,2020
Klaipėda,1.04,2020
Vilnius,14.09,2020
