city,x,y
Šiauliai,2015,100.0
Šiauliai,2016,100.0
Šiauliai,2017,100.0
Šiauliai,2018,100.0
Šiauliai,2019,100.0
Šiauliai,2020,100.0
Kaunas,2015,98.96
Kaunas,2016,99.28
Kaunas,2017,99.34
Kaunas,2018,99.28
Kaunas,2019,99.13
Kaunas,2020,99.2
Panevėžys,2015,100.0
Panevėžys,2016,100.0
Panevėžys,2017,100.0
Panevėžys,2018,100.0
Panevėžys,2019,100.0
Panevėžys,2020,100.0
Alytus,2015,100.0
Alytus,2016,100.0
Alytus,2017,100.0
Alytus,2018,100.0
Alytus,2019,91.12
Alytus,2020,100.0
Klaipėda,2015,28.72
Klaipėda,2016,25.77
Klaipėda,2017,24.3
Klaipėda,2018,20.97
Klaipėda,2019,18.98
Klaipėda,2020,18.18
Vilnius,2015,4.84
Vilnius,2016,4.93
Vilnius,2017,5.57
Vilnius,2018,3.8
Vilnius,2019,4.47
Vilnius,2020,3.94
