city,x,y
Šiauliai,2015,1.1
Šiauliai,2016,1.3
Šiauliai,2017,2.2
Šiauliai,2018,1.6
Šiauliai,2019,1.3
Šiauliai,2020,0.7
Kaunas,2015,1.6
Kaunas,2016,1.0
Kaunas,2017,1.2
Kaunas,2018,1.7
Kaunas,2019,1.9
Kaunas,2020,2.0
Panevėžys,2015,0.5
Panevėžys,2016,0.4
Panevėžys,2017,0.4
Panevėžys,2018,1.0
Panevėžys,2019,1.0
Panevėžys,2020,1.1
Alytus,2015,1.6
Alytus,2016,1.8
Alytus,2017,1.5
Alytus,2018,1.3
Alytus,2019,0.4
Alytus,2020,1.1
Klaipėda,2015,1.7
Klaipėda,2016,1.4
Klaipėda,2017,1.4
Klaipėda,2018,1.5
Klaipėda,2019,1.8
Klaipėda,2020,1.5
Vilnius,2015,4.4
Vilnius,2016,3.9
Vilnius,2017,4.2
Vilnius,2018,3.1
Vilnius,2019,3.5
Vilnius,2020,3.1
