"Laikotarpis","Rodiklis","Administracinė teritorija","Išvalymas","Matavimo vienetai","Reikšmė"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Iš viso išleista nuotekų","tūkst. m³","129907.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Iš viso išleista nuotekų","tūkst. m³","84169.8"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Iš viso išleista nuotekų","tūkst. m³","74417.5"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Iš viso išleista nuotekų","tūkst. m³","69970.5"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Iš viso išleista nuotekų","tūkst. m³","189913.4"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Iš viso išleista nuotekų","tūkst. m³","10270.2"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Iš viso išleista nuotekų","tūkst. m³","9854.2"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Iš viso išleista nuotekų","tūkst. m³","9023.3"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Iš viso išleista nuotekų","tūkst. m³","8677.0"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Iš viso išleista nuotekų","tūkst. m³","9292.3"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Iš viso išleista nuotekų","tūkst. m³","2490171.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Iš viso išleista nuotekų","tūkst. m³","2511885.8"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Iš viso išleista nuotekų","tūkst. m³","2306847.8"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Iš viso išleista nuotekų","tūkst. m³","2482615.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Iš viso išleista nuotekų","tūkst. m³","3221386.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Iš viso išleista nuotekų","tūkst. m³","76304.1"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Iš viso išleista nuotekų","tūkst. m³","90562.4"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Iš viso išleista nuotekų","tūkst. m³","82323.5"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Iš viso išleista nuotekų","tūkst. m³","91431.7"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos apskritis","Iš viso išleista nuotekų","tūkst. m³","95738.9"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Iš viso išleista nuotekų","tūkst. m³","18829.7"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Iš viso išleista nuotekų","tūkst. m³","21088.2"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Iš viso išleista nuotekų","tūkst. m³","18728.3"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Iš viso išleista nuotekų","tūkst. m³","18232.0"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio apskritis","Iš viso išleista nuotekų","tūkst. m³","17967.7"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Iš viso išleista nuotekų","tūkst. m³","25991.1"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Iš viso išleista nuotekų","tūkst. m³","26935.9"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Iš viso išleista nuotekų","tūkst. m³","24644.2"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Iš viso išleista nuotekų","tūkst. m³","20620.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių apskritis","Iš viso išleista nuotekų","tūkst. m³","23047.8"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista išvalytų iki normos nuotekų","tūkst. m³","7432.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista išvalytų iki normos nuotekų","tūkst. m³","9121.1"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista išvalytų iki normos nuotekų","tūkst. m³","6969.0"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista išvalytų iki normos nuotekų","tūkst. m³","5707.3"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Sostinės regionas","Išleista išvalytų iki normos nuotekų","tūkst. m³","5093.3"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","6300.9"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","6713.7"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","5889.3"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","5219.4"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","5181.5"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","33965.7"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","35605.8"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","32753.6"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","31671.7"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno apskritis","Išleista išvalytų iki normos nuotekų","tūkst. m³","32043.4"
