,Išvalymas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
0,Iš viso išleista nuotekų,Šiaulių m. sav.,tūkst. m³,2015,6948.96,103726.0,66.99342498505678
1,"Išleista nuotekų, kurių nereikia valyti",Šiaulių m. sav.,tūkst. m³,2015,,103726.0,
2,Išleista išvalytų iki normos nuotekų,Šiaulių m. sav.,tūkst. m³,2015,6948.96,103726.0,66.99342498505678
3,Išleista nepakankamai išvalytų nuotekų,Šiaulių m. sav.,tūkst. m³,2015,,103726.0,
4,Išleista užterštų (be valymo nuotekų),Šiaulių m. sav.,tūkst. m³,2015,,103726.0,
5,Iš viso išleista nuotekų,Šiaulių m. sav.,tūkst. m³,2016,7984.401,102143.0,78.16885151209578
6,"Išleista nuotekų, kurių nereikia valyti",Šiaulių m. sav.,tūkst. m³,2016,,102143.0,
7,Išleista išvalytų iki normos nuotekų,Šiaulių m. sav.,tūkst. m³,2016,7984.401,102143.0,78.16885151209578
8,Išleista nepakankamai išvalytų nuotekų,Šiaulių m. sav.,tūkst. m³,2016,,102143.0,
9,Išleista užterštų (be valymo nuotekų),Šiaulių m. sav.,tūkst. m³,2016,,102143.0,
10,Iš viso išleista nuotekų,Šiaulių m. sav.,tūkst. m³,2017,8412.476,100693.0,83.54578769129931
11,"Išleista nuotekų, kurių nereikia valyti",Šiaulių m. sav.,tūkst. m³,2017,,100693.0,
12,Išleista išvalytų iki normos nuotekų,Šiaulių m. sav.,tūkst. m³,2017,8412.476,100693.0,83.54578769129931
13,Išleista nepakankamai išvalytų nuotekų,Šiaulių m. sav.,tūkst. m³,2017,,100693.0,
14,Išleista užterštų (be valymo nuotekų),Šiaulių m. sav.,tūkst. m³,2017,,100693.0,
15,Iš viso išleista nuotekų,Šiaulių m. sav.,tūkst. m³,2018,7595.479,100401.0,75.65142777462376
16,"Išleista nuotekų, kurių nereikia valyti",Šiaulių m. sav.,tūkst. m³,2018,,100401.0,
17,Išleista išvalytų iki normos nuotekų,Šiaulių m. sav.,tūkst. m³,2018,7595.479,100401.0,75.65142777462376
18,Išleista nepakankamai išvalytų nuotekų,Šiaulių m. sav.,tūkst. m³,2018,,100401.0,
19,Išleista užterštų (be valymo nuotekų),Šiaulių m. sav.,tūkst. m³,2018,,100401.0,
20,Iš viso išleista nuotekų,Šiaulių m. sav.,tūkst. m³,2019,6718.323,100707.0,66.71157913551193
21,"Išleista nuotekų, kurių nereikia valyti",Šiaulių m. sav.,tūkst. m³,2019,,100707.0,
22,Išleista išvalytų iki normos nuotekų,Šiaulių m. sav.,tūkst. m³,2019,6718.323,100707.0,66.71157913551193
23,Išleista nepakankamai išvalytų nuotekų,Šiaulių m. sav.,tūkst. m³,2019,,100707.0,
24,Išleista užterštų (be valymo nuotekų),Šiaulių m. sav.,tūkst. m³,2019,,100707.0,
