"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2903951"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1952856"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","951095"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2870351"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1929207"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","941144"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2824030"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1895859"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","928171"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2801501"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1878790"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","922711"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2792209"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1877340"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","914869"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2796025"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1887323"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","908702"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas ir kaimas","asmenys","2783463"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1877516"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","905947"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","806613"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","635627"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","170986"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","805030"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","635185"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","169845"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","804652"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","635473"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","169179"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","807676"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","637705"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","169971"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","814724"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","644128"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","170596"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","825231"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","652844"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","172387"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas ir kaimas","asmenys","828817"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","655023"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","173794"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","806613"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","635627"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","170986"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","805030"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","635185"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","169845"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","804652"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","635473"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","169179"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","807676"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","637705"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","169971"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","814724"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","644128"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","170596"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","825231"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","652844"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","172387"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas ir kaimas","asmenys","828817"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","655023"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","173794"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","24022"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","16060"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7962"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23871"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15835"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","8036"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23673"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15682"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7991"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23724"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15800"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7924"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23787"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15885"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7902"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","24013"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","16087"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7926"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas ir kaimas","asmenys","23777"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","15861"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7916"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","32478"
