,Administracinė teritorija,Teršalai,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
0,Šiaulių m. sav.,Visi teršalai,tonos,2015,867.1,103726.0,8.359524130883289
1,Šiaulių m. sav.,"Azoto oksidai, tonos",tonos,2015,127.8,103726.0,1.2320922430248924
2,Šiaulių m. sav.,Fluoras ir kiti teršalai,tonos,2015,14.5,103726.0,0.13979137342614195
3,Šiaulių m. sav.,"Anglies monoksidas, tonos",tonos,2015,663.5,103726.0,6.396660432292771
4,Šiaulių m. sav.,Lakūs organiniai junginiai,tonos,2015,8.6,103726.0,0.08291074561826349
5,Šiaulių m. sav.,"Sieros dioksidas, tonos",tonos,2015,1.9,103726.0,0.0183174903110117
6,Šiaulių m. sav.,Dujinės ir skystosios medžiagos,tonos,2015,816.3,103726.0,7.869772284673081
7,Šiaulių m. sav.,Kietosios medžiagos,tonos,2015,50.8,103726.0,0.4897518462102077
8,Šiaulių m. sav.,Visi teršalai,tonos,2016,964.4,102143.0,9.441665116552283
9,Šiaulių m. sav.,"Azoto oksidai, tonos",tonos,2016,150.8,102143.0,1.4763615715222778
10,Šiaulių m. sav.,Fluoras ir kiti teršalai,tonos,2016,0.4,102143.0,0.003916078439051135
11,Šiaulių m. sav.,"Anglies monoksidas, tonos",tonos,2016,726.5,102143.0,7.1125774649266225
12,Šiaulių m. sav.,Lakūs organiniai junginiai,tonos,2016,24.5,102143.0,0.23985980439188198
13,Šiaulių m. sav.,"Sieros dioksidas, tonos",tonos,2016,16.1,102143.0,0.15762215717180816
14,Šiaulių m. sav.,Dujinės ir skystosios medžiagos,tonos,2016,918.3,102143.0,8.990337076451642
15,Šiaulių m. sav.,Kietosios medžiagos,tonos,2016,46.1,102143.0,0.4513280401006432
16,Šiaulių m. sav.,Visi teršalai,tonos,2017,1060.4,100693.0,10.531020031183896
17,Šiaulių m. sav.,"Azoto oksidai, tonos",tonos,2017,167.3,100693.0,1.6614859026943285
18,Šiaulių m. sav.,Fluoras ir kiti teršalai,tonos,2017,0.3,100693.0,0.002979353083133882
19,Šiaulių m. sav.,"Anglies monoksidas, tonos",tonos,2017,785.7,100693.0,7.802925724727638
20,Šiaulių m. sav.,Lakūs organiniai junginiai,tonos,2017,29.0,100693.0,0.2880041313696086
21,Šiaulių m. sav.,"Sieros dioksidas, tonos",tonos,2017,23.5,100693.0,0.23338265817882076
22,Šiaulių m. sav.,Dujinės ir skystosios medžiagos,tonos,2017,1005.8,100693.0,9.98877777005353
23,Šiaulių m. sav.,Kietosios medžiagos,tonos,2017,54.6,100693.0,0.5422422611303666
24,Šiaulių m. sav.,Visi teršalai,tonos,2018,988.63,100401.0,9.84681427475822
25,Šiaulių m. sav.,"Azoto oksidai, tonos",tonos,2018,160.31,100401.0,1.596697244051354
26,Šiaulių m. sav.,Fluoras ir kiti teršalai,tonos,2018,0.31,100401.0,0.0030876186492166413
27,Šiaulių m. sav.,"Anglies monoksidas, tonos",tonos,2018,742.61,100401.0,7.396440274499258
28,Šiaulių m. sav.,Lakūs organiniai junginiai,tonos,2018,24.09,100401.0,0.2399378492246093
29,Šiaulių m. sav.,"Sieros dioksidas, tonos",tonos,2018,20.69,100401.0,0.20607364468481393
30,Šiaulių m. sav.,Dujinės ir skystosios medžiagos,tonos,2018,948.01,100401.0,9.442236631109251
31,Šiaulių m. sav.,Kietosios medžiagos,tonos,2018,40.62,100401.0,0.4045776436489676
32,Šiaulių m. sav.,Visi teršalai,tonos,2019,970.73,100707.0,9.639151201008868
33,Šiaulių m. sav.,"Azoto oksidai, tonos",tonos,2019,165.19,100707.0,1.640303057384293
34,Šiaulių m. sav.,Fluoras ir kiti teršalai,tonos,2019,0.31,100707.0,0.0030782368653618913
35,Šiaulių m. sav.,"Anglies monoksidas, tonos",tonos,2019,751.35,100707.0,7.4607524799666365
36,Šiaulių m. sav.,Lakūs organiniai junginiai,tonos,2019,7.7,100707.0,0.07645943181705343
37,Šiaulių m. sav.,"Sieros dioksidas, tonos",tonos,2019,15.65,100707.0,0.15540131271907615
38,Šiaulių m. sav.,Dujinės ir skystosios medžiagos,tonos,2019,940.2,100707.0,9.335994518752422
39,Šiaulių m. sav.,Kietosios medžiagos,tonos,2019,30.53,100707.0,0.30315668225644693
40,Šiaulių m. sav.,Visi teršalai,tonos,2020,935.71,102031.0,9.17084023483059
41,Šiaulių m. sav.,"Azoto oksidai, tonos",tonos,2020,158.77,102031.0,1.5560956964059944
42,Šiaulių m. sav.,Fluoras ir kiti teršalai,tonos,2020,0.28,102031.0,0.0027442639981966267
43,Šiaulių m. sav.,"Anglies monoksidas, tonos",tonos,2020,728.38,102031.0,7.138810753594496
44,Šiaulių m. sav.,Lakūs organiniai junginiai,tonos,2020,9.72,102031.0,0.09526516450882576
45,Šiaulių m. sav.,"Sieros dioksidas, tonos",tonos,2020,10.53,102031.0,0.10320392821789455
46,Šiaulių m. sav.,Dujinės ir skystosios medžiagos,tonos,2020,907.68,102031.0,8.896119806725407
47,Šiaulių m. sav.,Kietosios medžiagos,tonos,2020,28.03,102031.0,0.2747204281051837
48,Kauno m. sav.,Visi teršalai,tonos,2015,5243.0,299535.0,17.50379755287362
49,Kauno m. sav.,"Azoto oksidai, tonos",tonos,2015,683.9,299535.0,2.283205635401539
50,Kauno m. sav.,Fluoras ir kiti teršalai,tonos,2015,1301.2,299535.0,4.344066636620095
51,Kauno m. sav.,"Anglies monoksidas, tonos",tonos,2015,2473.4,299535.0,8.257465738561438
52,Kauno m. sav.,Lakūs organiniai junginiai,tonos,2015,103.9,299535.0,0.3468709833575375
53,Kauno m. sav.,"Sieros dioksidas, tonos",tonos,2015,470.4,299535.0,1.5704341729681004
54,Kauno m. sav.,Dujinės ir skystosios medžiagos,tonos,2015,5032.8,299535.0,16.802043166908707
55,Kauno m. sav.,Kietosios medžiagos,tonos,2015,210.2,299535.0,0.7017543859649122
56,Kauno m. sav.,Visi teršalai,tonos,2016,5369.1,295585.0,18.16431821641829
