city,x,y
Šiaulių m. sav.,2015,6.396660432292771
Šiaulių m. sav.,2016,7.1125774649266225
Šiaulių m. sav.,2017,7.802925724727638
Šiaulių m. sav.,2018,7.396440274499258
Šiaulių m. sav.,2019,7.4607524799666365
Šiaulių m. sav.,2020,7.138810753594496
Kauno m. sav.,2015,8.257465738561438
Kauno m. sav.,2016,10.412571679889034
Kauno m. sav.,2017,9.960763239392467
Kauno m. sav.,2018,11.397344683455389
Kauno m. sav.,2019,9.627251550361956
Kauno m. sav.,2020,5.289751309750421
Alytaus m. sav.,2015,6.333690655716856
Alytaus m. sav.,2016,6.593958794736745
Alytaus m. sav.,2017,7.306295748400607
Alytaus m. sav.,2018,7.058477928792449
Alytaus m. sav.,2019,6.0662087692676305
Alytaus m. sav.,2020,6.5168222226701875
Klaipėdos m. sav.,2015,8.884174962603808
Klaipėdos m. sav.,2016,9.515781219368751
Klaipėdos m. sav.,2017,11.981182436941145
Klaipėdos m. sav.,2018,12.840253067122207
Klaipėdos m. sav.,2019,10.366572173105023
Klaipėdos m. sav.,2020,9.533302550306827
Vilniaus m. sav.,2015,3.2733597769167764
Vilniaus m. sav.,2016,4.603195883293879
Vilniaus m. sav.,2017,4.6773674117664275
Vilniaus m. sav.,2018,4.686550279812234
Vilniaus m. sav.,2019,3.7923583833093555
Vilniaus m. sav.,2020,1.4152397940711567
