,Vandens naudojimo paskirtis,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
0,Paimta vandens iš viso,Šiaulių m. sav.,tūkst. m³,2015,4705.958,103726.0,45.369126352120006
1,Paimta požeminio vandens,Šiaulių m. sav.,tūkst. m³,2015,4696.634999999999,103726.0,45.27924531939917
2,Sunaudota vandens iš viso,Šiaulių m. sav.,tūkst. m³,2015,3910.958,103726.0,37.70470277461774
3,Sunaudota vandens ūkio ir buities reikmėms,Šiaulių m. sav.,tūkst. m³,2015,3643.898999999999,103726.0,35.1300445404238
4,Sunaudota vandens energetikos reikmėms,Šiaulių m. sav.,tūkst. m³,2015,114.348,103726.0,1.1024044116229297
5,Sunaudota vandens kitoms reikmėms,Šiaulių m. sav.,tūkst. m³,2015,,103726.0,
6,Sunaudota vandens pramonės reikmėms,Šiaulių m. sav.,tūkst. m³,2015,152.711,103726.0,1.4722538225710045
7,Sunaudota vandens žemės ūkio reikmėms,Šiaulių m. sav.,tūkst. m³,2015,,103726.0,
8,Sunaudota vandens žuvininkystės reikmėms,Šiaulių m. sav.,tūkst. m³,2015,,103726.0,
9,Sunaudota požeminio vandens,Šiaulių m. sav.,tūkst. m³,2015,3901.634999999999,103726.0,37.61482174189691
10,Paimta vandens iš viso,Šiaulių m. sav.,tūkst. m³,2016,4934.712,102143.0,48.311798165317256
11,Paimta požeminio vandens,Šiaulių m. sav.,tūkst. m³,2016,4920.951999999999,102143.0,48.17708506701389
12,Sunaudota vandens iš viso,Šiaulių m. sav.,tūkst. m³,2016,3912.147999999999,102143.0,38.30069608294253
13,Sunaudota vandens ūkio ir buities reikmėms,Šiaulių m. sav.,tūkst. m³,2016,3643.369999999999,102143.0,35.66930675621432
14,Sunaudota vandens energetikos reikmėms,Šiaulių m. sav.,tūkst. m³,2016,128.242,102143.0,1.255514327951989
15,Sunaudota vandens kitoms reikmėms,Šiaulių m. sav.,tūkst. m³,2016,,102143.0,
16,Sunaudota vandens pramonės reikmėms,Šiaulių m. sav.,tūkst. m³,2016,140.536,102143.0,1.3758749987762255
17,Sunaudota vandens žemės ūkio reikmėms,Šiaulių m. sav.,tūkst. m³,2016,,102143.0,
18,Sunaudota vandens žuvininkystės reikmėms,Šiaulių m. sav.,tūkst. m³,2016,,102143.0,
19,Sunaudota požeminio vandens,Šiaulių m. sav.,tūkst. m³,2016,3898.387999999999,102143.0,38.16598298463917
20,Paimta vandens iš viso,Šiaulių m. sav.,tūkst. m³,2017,4583.012,100693.0,45.514703107465266
21,Paimta požeminio vandens,Šiaulių m. sav.,tūkst. m³,2017,4570.282,100693.0,45.38827922497096
22,Sunaudota vandens iš viso,Šiaulių m. sav.,tūkst. m³,2017,4023.676,100693.0,39.95983832043935
