,Reiso tipas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
0,Tolimojo susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2015,3145.4,103726.0,30.324123170661167
1,Specialus reisas,Šiaulių m. sav.,tūkst. km,2015,,103726.0,
2,Tarptautinio susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2015,106.8,103726.0,1.029635771166342
3,Reguliarus reisas,Šiaulių m. sav.,tūkst. km,2015,9886.0,103726.0,95.30879432350615
4,Vietinio (miesto) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2015,5817.9,103726.0,56.08911941075526
5,Užsakomasis reisas,Šiaulių m. sav.,tūkst. km,2015,694.6,103726.0,6.696488826330911
6,Vietinio (priemiestinio) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2015,815.9,103726.0,7.865915970923395
7,Iš viso pagal reiso tipą,Šiaulių m. sav.,tūkst. km,2015,10580.599999999999,103726.0,102.00528314983706
8,Tolimojo susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2016,3112.7,102143.0,30.47394339308616
9,Specialus reisas,Šiaulių m. sav.,tūkst. km,2016,,102143.0,
10,Tarptautinio susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2016,6.1,102143.0,0.05972019619552979
11,Reguliarus reisas,Šiaulių m. sav.,tūkst. km,2016,9572.7,102143.0,93.71861018376198
12,Vietinio (miesto) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2016,5646.0,102143.0,55.275447167206764
13,Užsakomasis reisas,Šiaulių m. sav.,tūkst. km,2016,601.3,102143.0,5.886844913503617
14,Vietinio (priemiestinio) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2016,807.9,102143.0,7.909499427273528
15,Iš viso pagal reiso tipą,Šiaulių m. sav.,tūkst. km,2016,10174.0,102143.0,99.60545509726559
16,Tolimojo susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2017,2785.3,100693.0,27.661307141509344
17,Specialus reisas,Šiaulių m. sav.,tūkst. km,2017,,100693.0,
18,Tarptautinio susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2017,,100693.0,
19,Reguliarus reisas,Šiaulių m. sav.,tūkst. km,2017,8587.7,100693.0,85.28596824009614
20,Vietinio (miesto) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2017,5466.900000000001,100693.0,54.29275123394874
21,Užsakomasis reisas,Šiaulių m. sav.,tūkst. km,2017,690.2,100693.0,6.854498326596685
22,Vietinio (priemiestinio) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2017,335.5,100693.0,3.3319098646380585
23,Iš viso pagal reiso tipą,Šiaulių m. sav.,tūkst. km,2017,9277.9,100693.0,92.14046656669282
24,Tolimojo susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2018,2324.6,100401.0,23.153155845061303
25,Specialus reisas,Šiaulių m. sav.,tūkst. km,2018,3.7,100401.0,0.03685222258742443
26,Tarptautinio susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2018,,100401.0,
27,Reguliarus reisas,Šiaulių m. sav.,tūkst. km,2018,8263.4,100401.0,82.30396111592513
28,Vietinio (miesto) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2018,5444.8,100401.0,54.23053555243474
29,Užsakomasis reisas,Šiaulių m. sav.,tūkst. km,2018,619.5,100401.0,6.170257268353901
30,Vietinio (priemiestinio) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2018,494.0,100401.0,4.920269718429099
31,Iš viso pagal reiso tipą,Šiaulių m. sav.,tūkst. km,2018,8886.6,100401.0,88.51107060686647
32,Tolimojo susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2019,1891.8,100707.0,18.78518871577944
33,Specialus reisas,Šiaulių m. sav.,tūkst. km,2019,50.2,100707.0,0.4984757762618289
34,Tarptautinio susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2019,,100707.0,
35,Reguliarus reisas,Šiaulių m. sav.,tūkst. km,2019,7848.400000000001,100707.0,77.93301359389119
36,Vietinio (miesto) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2019,5624.4,100707.0,55.84914653400459
37,Užsakomasis reisas,Šiaulių m. sav.,tūkst. km,2019,623.2,100707.0,6.18824907901139
38,Vietinio (priemiestinio) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2019,332.2,100707.0,3.298678344107162
39,Iš viso pagal reiso tipą,Šiaulių m. sav.,tūkst. km,2019,8521.8,100707.0,84.6197384491644
40,Tolimojo susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2020,994.9,102031.0,9.750958042163655
41,Specialus reisas,Šiaulių m. sav.,tūkst. km,2020,36.0,102031.0,0.35283394262528056
42,Tarptautinio susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2020,,102031.0,
43,Reguliarus reisas,Šiaulių m. sav.,tūkst. km,2020,6311.405999999999,102031.0,61.8577295135792
44,Vietinio (miesto) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2020,5165.329999999999,102031.0,50.62510413501778
45,Užsakomasis reisas,Šiaulių m. sav.,tūkst. km,2020,580.054,102031.0,5.685076104321236
46,Vietinio (priemiestinio) susisiekimo maršrutas,Šiaulių m. sav.,tūkst. km,2020,151.176,102031.0,1.4816673363977613
47,Iš viso pagal reiso tipą,Šiaulių m. sav.,tūkst. km,2020,6927.46,102031.0,67.89563956052572
48,Tolimojo susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2015,13011.7,299535.0,43.439664813794714
49,Specialus reisas,Kauno m. sav.,tūkst. km,2015,920.1,299535.0,3.071761229906355
50,Tarptautinio susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2015,3760.5,299535.0,12.554459412088736
51,Reguliarus reisas,Kauno m. sav.,tūkst. km,2015,45213.8,299535.0,150.94663394928807
52,Vietinio (miesto) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2015,22442.9,299535.0,74.9258016592385
53,Užsakomasis reisas,Kauno m. sav.,tūkst. km,2015,4904.0,299535.0,16.37204333383411
54,Vietinio (priemiestinio) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2015,5998.7,299535.0,20.026708064166126
55,Iš viso pagal reiso tipą,Kauno m. sav.,tūkst. km,2015,51037.90000000001,299535.0,170.39043851302856
56,Tolimojo susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2016,13215.4,295585.0,44.70930527597814
57,Specialus reisas,Kauno m. sav.,tūkst. km,2016,1281.5,295585.0,4.335470338481317
58,Tarptautinio susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2016,4765.399999999999,295585.0,16.121927702691266
59,Reguliarus reisas,Kauno m. sav.,tūkst. km,2016,46188.9,295585.0,156.26266556151361
60,Vietinio (miesto) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2016,21982.9,295585.0,74.37082395926723
61,Užsakomasis reisas,Kauno m. sav.,tūkst. km,2016,5201.2,295585.0,17.596292098719488
62,Vietinio (priemiestinio) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2016,6225.2,295585.0,21.06060862357697
63,Iš viso pagal reiso tipą,Kauno m. sav.,tūkst. km,2016,52671.600000000006,295585.0,178.19442799871445
64,Tolimojo susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2017,13152.6,290289.0,45.30864069944091
65,Specialus reisas,Kauno m. sav.,tūkst. km,2017,1662.4,290289.0,5.726706833534857
66,Tarptautinio susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2017,3982.7,290289.0,13.7197758096242
67,Reguliarus reisas,Kauno m. sav.,tūkst. km,2017,45360.3,290289.0,156.25910730341144
